"1","82.221.129.208","conspiracy","fake",NULL,NULL
"2","100percentfedup.com","bias",NULL,NULL,NULL
"3","21stcenturywire.com","conspiracy",NULL,NULL,NULL
"4","24.sapo.pt","unreliable",NULL,NULL,"Website from Portugal"
"5","24newsflash.com","fake",NULL,NULL,NULL
"6","365usanews.com","bias","conspiracy",NULL,NULL
"7","4threvolutionarywar.wordpress.com","bias","conspiracy",NULL,NULL
"8","70news.wordpress.com","fake",NULL,NULL,NULL
"9","aanirfan.blogspot.co.uk","unreliable",NULL,NULL,NULL
"10","abcnews.com.co","fake",NULL,NULL,NULL
"11","abcnewsgo.co","fake",NULL,NULL,NULL
"12","abeldanger.net","conspiracy",NULL,NULL,NULL
"13","abovetopsecret.com","conspiracy","rumor",NULL,NULL
"14","abriluno.com","satire","fake",NULL,NULL
"15","aceflashman.wordpress.com","satire",NULL,NULL,NULL
"16","acritica.com","reliable",NULL,NULL,NULL
"17","Acting-Man.com","unreliable","conspiracy",NULL,"publishes articles denying climate change"
"18","activistpost.com","conspiracy",NULL,NULL,NULL
"19","addictinginfo.org","clickbait","unreliable",NULL,NULL
"20","adobochronicles.com","satire",NULL,NULL,NULL
"21","advocate.com","political","credible",NULL,NULL
"22","aheadoftheherd.com","bias",NULL,NULL,"false quotes regarding banking, heavily promotes businesses advertising on site/ buying of precious metals"
"23","ahtribune.com","unreliable","bias",NULL,NULL
"24","alertatotal.net","unreliable","bias","political",NULL
"25","allnewspipeline.com","unreliable","conspiracy",NULL,NULL
"26","alternativemediasyndicate.com","fake",NULL,NULL,"http://alternativemediasyndicate.com/2017/02/02/police-raid-standing-rock-camp-destroy-tipis-burning-remains/"
"27","alternet.org","political","credible",NULL,NULL
"28","Alt-Market.com","conspiracy","bias",NULL,NULL
"29","americanblog.com","unknown",NULL,NULL,"domain for sale"
"30","americanfreepress.net","conspiracy","bias",NULL,NULL
"31","AmericanKabuki.blogspot.com","junksci",NULL,NULL,NULL
"32","americanlookout.com","bias","clickbait",NULL,NULL
"33","americannews.com","fake",NULL,NULL,NULL
"34","americannewsx.com","bias","clickbait","satire",NULL
"35","americanoverlook.com","fake",NULL,NULL,NULL
"36","americanpatriotdaily.com","bias","clickbait","bias",NULL
"37","americanprogress.org","political","credible",NULL,NULL
"38","americanreviewer.com","conspiracy",NULL,NULL,NULL
"39","americanthinker.com","bias",NULL,NULL,"sites both credible/not credible sources, mix of opinion/'fact'"
"40","americantoday.news","rumor","bias",NULL,NULL
"41","americasfreedomfighters.com","bias","clickbait",NULL,NULL
"42","AmmoLand.com","bias",NULL,NULL,NULL
"43","amplifyingglass.com","clickbait","satire",NULL,NULL
"44","amren.com","hate","conspiracy",NULL,NULL
"45","amtvmedia.com","rumor","unreliable",NULL,NULL
"46","amusmentic.com","clickbait","rumor",NULL,NULL
"47","ancient-code.com","junksci","unreliable",NULL,NULL
"48","androidpolice.com","reliable",NULL,NULL,NULL
"49","angrypatriotmovement.com","conspiracy",NULL,NULL,NULL
"50","anonews.co","unreliable",NULL,NULL,NULL
"51","anonhq.com","unreliable",NULL,NULL,NULL
"52","anonnews.co","unreliable",NULL,NULL,NULL
"53","anotherdayintheempire.com","bias","conspiracy",NULL,NULL
"54","antiwar.com","bias","unreliable",NULL,"site is biased but very open about bias and source"
"55","antoniusaquinas.wp.com","bias","conspiracy",NULL,NULL
"56","ap.org","reliable",NULL,NULL,NULL
"57","apnews.com","reliable",NULL,NULL,NULL
"58","asia-pacificresearch.com","unreliable","satire",NULL,NULL
"59","assassinationscience.com","conspiracy","junksci",NULL,NULL
"60","associatedmediacoverage.com","satire",NULL,NULL,NULL
"61","attn.com","political","clickbait",NULL,NULL
